书名,作者,价格,出版社
 Vue.js 3+TypeScript完全指南 资深前端技术大佬coderwhy经验分享，全面介绍Vue.js 3和TypeScript前端开发技术及核心原理，手写Mini-Vue.js 3框架,王红元,¥159.00,电子工业出版社
 零基础学Python（Python3.10全彩版）编程入门 项目实践 同步视频 Python3.10全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频+完整源码+215道课后题+实物挂图+海量资源,明日科技,¥31.10,吉林大学出版社
" Origin科研绘图与学术图表绘制从入门到精通（签名版） 专业级Origin 2023科研绘图与学术图表绘制指南:以“二维、三维科技绘图+拟合与分析+数据与信号处理”的思路进行全方位讲解, 掌握科技绘图与学术图表绘制的核心技能。",谭春林,¥89.90,北京大学出版社
 Head First Java（中文版）（JAVA经典畅销书 生动有趣 轻松学好JAVA） 10年畅销经典，累计印刷30多次，畅销近30万册，计算机图书十大好书之一。,塞若,¥77.40,中国电力出版社
 算法竞赛（清华科技大讲堂） 一本算法竞赛大全，全面深入解析算法专题、数据结构、模板代码。10个专题，330个知识点，102个章节视频讲解。,罗勇军,¥126.00,清华大学出版社
 矩阵力量：线性代数全彩图解+微课+Python编程 鸢尾花书 从加减乘除到机器学习 Github/知乎数学可视化大神生姜博士作品 硬核品鉴数学之美,姜伟生,¥193.50,清华大学出版社
 C++ Core Guidelines解析 现代C++编程Best Practices的共识，C++ Core Guidelines的中文精准导读。C++创始人Bjarne Stroustrup、C++标准委员会主席Herb Sutter倾力推,赖纳·格林,¥96.00,清华大学出版社
 控制之美（卷1）——控制理论从传递函数到状态空间 本书的目标是以简单的语言讲述复杂的知识，希望本书可以引起读者对控制理论的兴趣，并掌握控制理论的核心精神所在，为未来深入学习其他相关知识打下基础。同时，本书是一本“实战性”很强的书籍，大部分章节以一个实,王天威,¥51.70,清华大学出版社
 CCF中学生计算机程序设计-入门篇 中国计算机学会推荐，CCF中学生计算机程序设计教材，noip竞赛参考书，中学生计算机编程经典教材，小学、初、高中计算机程序设计爱好者,中国计算机学会,¥30.10,科学出版社
 中文版Photoshop 2022从入门到精通（微课视频 全彩版）ps入门书籍 PS教程教材 摄影后期 图片后期 调色 PS2022新版，Adobe专家升级畅销书，手机扫码看421集PS视频教程+配套源文件，赠本书实例素材及其他实用设计素材、各种设计宝典及速查手册、PPT课件等,唯美世界,¥97.80,水利水电出版社
 word excel ppt从入门到精通 23年新版电脑办公软件学习wps office表格制作教程书计算机函数公式应用 团购电话:4001066666转6，全彩升级版，让你从新手到高手从入门到精通 word文档制作 excel公式与函数高效办公 ppt幻灯片极具说服力 手机扫码随时看教程,曾焱,¥49.80,广东人民出版社
 中小学C++编程项目学习创意课堂（微课版） 青少年编程零基础入门，一线信息技术老师通过50多个项目案例教孩子入门、掌握C++语言编程的方法与技巧。随书配有案例素材、源文件、答案、PPT课件、微课视频等立体化资源，获取地址见书前言二维码。,方其桂,¥60.20,清华大学出版社
 数学要素 全彩图解 + 微课 +Python 编程 Github/知乎数学可视化大神生姜博士全角度拆解“数学要素”。,姜伟生,¥178.50,清华大学出版社
 剪映视频剪辑/调色/特效从入门到精通（手机版+电脑版） 2023新版 剪映手机版+电脑版入门到精通，精选61个抖音、快手典型案例，短视频制作全流程讲解，附赠同步录播课程、114页拓展电子书及素材效果文件。,麓山剪辑社,¥79.80,人民邮电出版社
 深入理解计算机系统（原书第3版） IT图书领域的传奇图书，畅销全球的ICS核心教材，能让程序员脱胎换骨的书,兰德尔,¥90.40,机械工业出版社
 算法竞赛入门经典（第2版） 连续畅销多年精典算法好书！,刘汝佳,¥59.80,清华大学出版社
 机器学习 机器学习*修订版！人工智能领域中文的开山之作，大牛周志华教授带你全面揭开机器学习的奥秘。,周志华,¥75.60,清华大学出版社
 啊哈C语言！逻辑的挑战（修订版） 当当销量过万畅销书全新修订 超萌超简单的C语言入门教程,啊哈磊,¥26.90,电子工业出版社
 编程江湖——Python篇（青少年版） 零起点Python编程读物；以武侠故事为主体呈现编程知识；特级教师一线教学宝贵经验,王爱胜,¥51.00,清华大学出版社
 大话数据结构 溢彩加强版 超级畅销书彩色升华版，百万读者认可的趣味解读“数据结构+算法”，配合动效PPT课件，动态扫除难点。程杰作品，必属精品。,程杰,¥119.00,清华大学出版社
 Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册） Python编程入门好书，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,埃里克·马瑟斯,¥267.80,人民邮电出版社
 深度学习 人工智能算法，机器学习奠基之作，AI圣经 AI圣经 deep learning中文版 2018年图灵奖获奖者作品 业内人称“花书” 人工智能机器学习深度学习领域奠基性经典畅销书,Goodfellow,¥168.00,人民邮电出版社
 数据密集型应用系统设计 英国剑桥大学分布式系统研究员力作，confluent CEO、微软CTO 联袂力荐，EMC资深架构师亲译。带你跨越从分布式理论到工程实践的鸿沟！大数据工程师、软件开发者图书!每章都有一张思维导图！,Martin,¥125.40,中国电力出版社
 【领券立减100】全3册办公软件从入门到精通word excel ppt轻松应对 办公软件教程 零基础电脑个人简历万能表 ,谭立新,¥128.00,汕头大学出版社
 人工智能：现代方法（第4版）（上下册） 系统性总结人工智能的方方面面，国际人工智能领域专家斯图尔特·罗素撰写人工智能百科书，时隔十年重磅更新，被全球全球1500多所学校采用的经典教材,斯图尔特·罗素,¥198.00,人民邮电出版社
 人工智能 AI绘画从入门到精通：文案+绘画+摄影+电商广告制作 人工智能 AI绘画从入门到精通 文案 摄影 电商广告制作 AI绘画教程书 Midjourney关键词prompt描述语技巧 stablediffusion AIGC创作教程 AIGC绘图插画设计摄影视,谷哥,¥78.00,化学工业出版社
 SolidWorks 2022完全实战技术手册 超值赠送： 92个视频文件，长达19小时 大量相关素材文件，容量高达13GB,黄建峰,¥74.20,清华大学出版社
 计算广告：互联网商业变现的市场与技术（第3版） 计算广告学教程，在线广告变现实用指南讲解计算广告与互联网变现秘密的专业图书升级版，北冥乘海生刘鹏老师力作众多互联网公司管理层与创业者联袂推荐的好书,刘鹏,¥99.80,人民邮电出版社
 Linux命令行与shell脚本编程大全（第4版） Linux领域口碑作品再度升级，中文版累计入库10万册，初学读者也能跟着写出自己的Shell脚本，书中丰富示例适用于Linux所有发行版，附赠书示例文件。,理查德·布卢姆,¥129.80,人民邮电出版社
 小学生C++趣味编程（第二版） 全新升级！全彩印刷，还原真实编程环境；视频讲解，培养自主学习能力。,潘洪波,¥74.20,清华大学出版社
 CCF CSP第一轮认证一本通 针对历年真题提供详细的分析，针对考试大纲提供丰富的练习，针对考试内容提供详尽的讲解。,丁向民,¥59.60,清华大学出版社
 STL源码剖析 源码之前，了无秘密。大师们的缜密思维、经验结晶、技术思路、独到风格，都原原本本体现在源码之中。,侯捷,¥77.40,华中科技大学出版社
 人月神话（纪念典藏版） 长销半个世纪的传奇经典，被引频次无出其右的软工神话。缅怀大师布鲁克斯，纪念典藏版，软件开发人员、软件项目经理、系统分析师等IT从业者必藏之软工圣经！,小弗雷德里克·P.布鲁克斯,¥73.50,清华大学出版社
 Linux设备驱动程序（第三版） Linux社区的领导者经典著作，畅销不衰的Linux开发精粹。累计印刷25次，销量逾80000册。,科波特,¥67.60,中国电力出版社
 计算机科学概论（第13版） 计算机科学基础理论导引数据科学导论 数据分析思维算法导论，全景式展现计算机科学，在保持学科广度的同时，兼顾主题深度，导论性教材的不二之选,格伦,¥66.70,人民邮电出版社
 零基础学数学建模 一线知名专家执笔，理论实践并重,国忠金,¥36.70,清华大学出版社
 Hadoop权威指南：大数据的存储与分析（第4版） 引领大数据与云计算，为读者创造巨大价值的高端技术类畅销书，累计销量超过10万册,White,¥111.00,清华大学出版社
 动手学深度学习 人工智能机器学习深度学习领域重磅教程图书 Amazon科学家作品 交互式实战环境下动手学深度学习的全新模式 原理与实战紧密结合,阿斯顿·张,¥85.00,人民邮电出版社
 扩散模型从原理到实战 开启AI绘画新时代！AIGC大模型来临，配套赠送Diffusion视频课程！ Hugging Face平台学习实战，常春藤盟校数据科学硕士与算法工程师带你从理论到实战，了解、掌握扩散模型，快速满足工作中的绘图需求，有效提升效率。,李忻玮,¥59.80,人民邮电出版社
 微服务架构设计模式 微服务架构权威指南；PolarisTech联合创始人蔡书、才云科技CEO张鑫、易宝支付CTO陈斌等鼎立推荐！,克里斯,¥90.40,机械工业出版社
 Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少 ,张彦,¥68.40,水利水电出版社
 机器学习实战：基于Scikit-Learn Keras和TensorFlow（原书第2版） 机器学习畅销书全新升级，基于TensorFlow 2和Scikit-Learn新版本，详细讲解构建智能系统所需要的概念和工具,奥雷利安,¥111.70,机械工业出版社
 Python网络爬虫从入门到实践（全彩版）自动化数据采集，入门知识，项目实践 Python3爬虫开发图书（彩色版）：详解自动化获取数据、数据解析、数据清洗、反爬以及数据可视化等知识，125个示例+2个综合案例+1个项目,明日科技,¥96.00,吉林大学出版社
 计算机网络（第6版） 国际计算机网络权威作者Tanenbaum著作，著名译者潘爱民倾力翻译，教辅支持，请联系QQ381844463。,安德鲁·S.特南鲍姆,¥103.50,清华大学出版社
 Python+Excel/Word/PPT一本通 零基础轻松掌握Python办公自动化诀窍，逐行解析代码，学会办公软件与python结合办公！免费赠送随书PPT+源代码+重点内容的讲解视频，助你成为办公室效率,马文豪,¥99.80,人民邮电出版社
 与梦境的距离 Terry F的人像摄影灵感与技术 （1）观念摄影是摄影＋艺术后期的艺术创作，诞生如游戏原画、艺术品般的摄影作品。 （2）ps后期“手把手”教学，告别傻瓜式修图，掌握修图核心技巧。 （3）摄影核心理念，让你从拍好看到拍大片。 （4）特殊,冯韬,¥68.80,清华大学出版社
 Web安全攻防：渗透测试实战指南（第2版） Web安全攻防+渗透测试 | 增补内容超过50% | 更新的技术 | 更丰富的内容 | 更易懂的表达 | 更多实战案例！,MS08067安全实验室,¥96.70,电子工业出版社
 黑客攻防从入门到精通 实战篇 第2版 简单易学：从易到难、循序渐进、图文并茂、通俗易懂,王叶,¥49.80,机械工业出版社
 Kali Linux高级渗透测试（原书第4版） Kali Linux渗透测试经典之作全新升级，关注远程办公场景及云环境渗透测试，包含大量实例并提供源码。,维杰·库马尔·维卢,¥81.70,机械工业出版社
 神经网络与深度学习——基于MATLAB的仿真与实现 系统论述神经网络及深度学习的基本理论、方法、技术和MATLAB仿真案例!多位行业知名专家联袂推荐,姚舜才,¥66.70,清华大学出版社
 FLL+WRO乐高机器人竞赛教程——机械、巡线与PID 以spike和EV3机器人为载体同步编写。 通过180多例搭建和200多例程序探索竞赛机器人的设计。,蔡冬冬,¥74.20,清华大学出版社
 人工智能数学基础 中国人工智能学会副理事长力荐教材！数学思维的体操、学习人工智能的基石！通过205个典型范例+185个推导公式+37道经典习题+40个学习难点提示+19个项目，进行数学思想和解决方案的有效实践。,唐宇迪,¥89.20,北京大学出版社
 SQL进阶教程（第2版） SQL进阶中级！数据库工程师的SQL技能提升指南！理论与实践相结合，由浅入深地讲述SQL技巧，160张图表+412段代码，示例程序均可下载，切实提升SQL水平！,MICK,¥67.30,人民邮电出版社
 C#图解教程 第5版 长销十余年、数万读者认可的C#入门经典再次更新 全面涵盖C# 6.0和C# 7.0的新增特性 简洁的文字描述并辅以清晰易懂的图示 高效掌握和透彻理解C#语言的不二之选,丹尼尔·索利斯,¥129.00,人民邮电出版社
 完全图解编程原理 零基础入门编程程序设计 编程的百科全书编程思想 一本关于编程的专业科普书 涵盖语言特征 网络知识 数据 什么是编程，程序开发有哪些方法，开发中使用什么工具，程序员是怎么工作的，计算机中数据是怎么处理的，算法是什么，Web基础与网络安全，本书给你答案。,增井敏克,¥79.80,水利水电出版社
 中文版SketchUp 2022完全实战技术手册 全彩印刷 超值赠送： 138个视频文件，时长近24小时。 大量相关素材文件，容量高达12GB。,孙英杰,¥74.20,清华大学出版社
 ae书籍中文版After Effects 2022从入门到精通（微课视频全彩版唯美世界）短视频剪辑教程 影视后期特效 A 135集同步视频+78个实例案例讲解，手机扫码看视频+在线交流，百万加读者喜爱的唯美系列，视频后期处理/特效制作/视频剪辑，赠Premiere基础视频+PS基础视频,唯美,¥128.00,水利水电出版社
 白帽子讲Web安全（第2版） ,吴翰清,¥59.40,电子工业出版社
 cad cam cae完全自学教程中文版Mastercam2022数控加工从入门到精通 实战案例视频版 masterca CAD/CAM/CAE专家编写590分钟同步视频讲解手把手教学+137个实例案例分析+赠送资源+在线服务,天工在线,¥99.80,水利水电出版社
" C# 10 和 .NET 6入门与跨平台开发（第6版） 一本循序渐进的C#指南,涵盖C# 10和.NET 6的所有新功能。随书赠送彩图、代码和习题答案，获取地址见书封底二维码。",马克·J.普莱斯,¥168.00,清华大学出版社
 Word最强教科书[完全版] 零基础自学office电脑基础从入门到精通 计算机办公软件快捷操作视频教程书 想学好Word？看点有用的！系列新成员前来报到，128个超好用的Word办公场景常用技巧，效率提升不只一点点！,张栋,¥88.00,中国青年出版社
 Vlog视频拍摄5项全能：脚本策划+运镜方法+剪映剪辑+引流吸粉+运营获利 vivi的理想生活 一本书掌握Vlog视频拍摄5项全能：脚本策划+运镜方法+剪映剪辑+引流吸粉+运营获利，解说年赚百万、千万背后的Vlog账号秘密，助你从Vlog视频小白快速成长为网红大咖,vivi的理想生活,¥59.20,北京大学出版社
 C++高性能编程 本书涉及C++高性能编程的5个重要因素，包括计算硬件、高效使用编程语言、编译器、良好的设计和程序员自身。,费多尔·G.皮克斯,¥139.00,清华大学出版社
 Java高并发核心编程 卷2（加强版）：多线程、锁、JMM、JUC、高并发设计模式 深入浅出地讲解Java高并发应用开发核心技术,尼恩,¥88.50,清华大学出版社
