书名,作者,价格,出版社
 设计模式：可复用面向对象软件的基础（典藏版） 本书是引导读者走出软件设计迷宫的指路明灯，凝聚了软件开发界几十年设计经验的结晶。,埃里克·伽玛,¥62.50,机械工业出版社
 信息处理技术员教程(第3版) 依据2018年新大纲修订。 无学历、资历限制，可获得由工信部和人社部颁发的初级证书。,孙姜燕,¥77.00,清华大学出版社
 Python从入门到精通（第3版） Python入门经典，26万Python程序员的入行选择。配备升级版Python开发资源库，在线大咖课+在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,明日科技,¥67.30,清华大学出版社
 STM32Cube高效开发教程（基础篇） STM嵌入式系统开发教程，系统性地介绍STM32的HAL库开发，附赠示例源代码、示例运行演示视频和课件，STM32应用开发者入门到进阶参考书籍。,王维波,¥119.80,人民邮电出版社
 ROS 2机器人编程实战：基于现代C++和Python 3 从设计思想到应用技巧，从基础概念到工程实战，一线机器人工程师带你玩转ROS 2,徐海望,¥89.20,机械工业出版社
 网络运维从入门到精通——29个实践项目详解 ,樊胜民,¥99.00,化学工业出版社
 接口自动化测试项目实战：Python 3.8+Requests+PyMySQL+pytest+Jenkins实现 跟随视频，操练完整项目，轻松入门接口自动化测试,江楚,¥59.00,清华大学出版社
 中文版 UG NX 12.0数控加工从入门到精通实战案例+视频讲解 ug12教程教材 数控编程模具设计 cad从入门到精 UG NX数控加工 机械加工实战教材 CAD CAE CAM微视频讲解大系列 手机扫码看120集微视频讲解+实例案例分析，UG数控加工案例视频实战教程,天工在线,¥89.80,水利水电出版社
 凤凰架构：构建可靠的大型分布式系统 《深入理解Java虚拟机》周志明新作，5维度讲解可靠大型分布式系统架构，5种架构风格实例，9位架构专家推荐,周志明,¥78.30,机械工业出版社
 Java高并发核心编程 卷1（加强版）：NIO、Netty、Redis、ZooKeeper 深入浅出地讲解Java高并发应用开发核心技术,尼恩,¥103.50,清华大学出版社
 AI可解释性（Python语言版） 通过构建XAI的方法论体系，形成一组工具和方法，从而解释ML模型产生的复杂结果，帮助人们理解ML模型。,列奥尼达·詹法纳,¥44.80,清华大学出版社
 深度强化学习(王树森、黎彧君联合导师北大张志华作品)(图灵出品) 入门深度强化学习就用猫书！北大教授王树森等业内大咖新作，涵盖近十年热门深度学习方法，围绕实用、精简两大原则，140多幅全彩插图，PPT与公开视频课程，让你的深度学习之旅倍感愉悦！,王树森,¥97.30,人民邮电出版社
 我跟爸爸学编程：从Python到C++ 从初中生的视角讲解Python和C++两种语言,叶哲语,¥44.50,清华大学出版社
 四旋翼无人机的制作与飞行 拿下你的首架无人机，无人机操作视频演示，无人机组装详解,戴凤智,¥48.00,化学工业出版社
" Python数据分析与可视化 本书配套资源丰富，包括教学大纲、教学课件、电子教案、习题答案、教学进度表，作者还为本书精心录制了600分钟的微课视频。本书可作为各类高等院校计算机科学与技术、软件工程及大数据技术等专业的本科生教材,也",魏伟一,¥44.80,清华大学出版社
 CTF实战：从入门到提升 三大院士联袂推荐;安恒信息组织编写;网络安全从业者和爱好者入门,苗春雨,¥74.20,机械工业出版社
 PyTorch计算机视觉实战：目标检测、图像处理与深度学习 面向初学者，涵盖计算机视觉所有关键主题；结合具体应用场景，提供50多个计算机视觉问题的实用解决方案,V·基肖尔·阿耶德瓦拉,¥111.70,机械工业出版社
 抖音短视频吸粉、引流、变现全攻略 小号到大V的抖音运营术，可复制的短视频爆款模式，涵盖用户分析，内容打造，推广营销，引流变现等内容，纯干货的实战案例+运营技巧，助你轻松打造百万粉丝、月入过万的抖音大V号！,徐浪,¥41.20,民主与建设出版社
 视觉SLAM十四讲：从理论到实践（第2版） 高博个性签名限量！SLAM华语原创首著升级版！彩色插图|更多实例|更深内容|更完善的工程项目|更易懂的表达。余凯谭平等业内大咖力荐！,高翔,¥59.40,电子工业出版社
 GraphPad Prism学术图表（全彩） 易于使用的非线性回归分析软件，科研论文作图，集生物统计、曲线拟合和科技绘图于一体,张敏,¥59.90,电子工业出版社
 大话计算机：计算机系统底层架构原理极限剖析 全新版 ,冬瓜哥,¥698.00,清华大学出版社
 Spring Boot+Vue前后端分离项目全栈开发实战 使用强大的Spring Boot和Vue.js，实现高效全栈开发,唐文,¥43.80,中国铁道出版社
 编程珠玑 第2版 复杂编程和算法习题 程序员案头书单 融实战技术与趣味轶事于一炉 带你领略计算机科学之美,乔恩·本特利,¥44.20,人民邮电出版社
 Power Query数据清洗实战 ExcelHome出品 超越VBA和函数的数据分析神器 Power Query比VBA和函数更简洁且强大，可跨越数百种数据源，通过简单的拖拽就能实现曾经用代码、函数才能达到的神奇效果。,Excel,¥51.70,北京大学出版社
 乐高机械结构设计 精选6大类100多款乐高机械结构设计作品，案例涉及齿轮机构、连杆机构、传动机构、机械手、变速箱和综合装配等类别。支持扫码观看成品视频演示和案例详细搭建步骤图,程罡,¥67.20,清华大学出版社
 数学分析原理（原书第３版） ,Walter,¥54.60,机械工业出版社
 R语言实战 第2版 【图灵程序设计丛书】R语言入门到精通 大数据挖掘 用R轻松实现数据挖掘 数据可视化 从实际数据分析出发 全面掌握R编程 新增预测性分析 简化多变量数据等近200页内容,卡巴科弗,¥66.40,人民邮电出版社
 反欺骗的艺术——世界传奇黑客的经历分享 世界头号黑客米特尼克将功补过的“社交工程学”名作，以一个个侦探故事的形式讲述了积累一生的宝贵亲身经历,米特尼克,¥58.90,清华大学出版社
 Efficient Linux命令行 这本书介绍了大量Linux命令行的使用技巧，这些知识不仅可用于当前工作，甚至会影响你的整个职业生涯。仅第1章介绍的内容就已物超所值。,丹尼尔·J,¥86.20,中国电力出版社
 ANSYS CFD网格划分技术指南 跟CAE大神流沙学画网格，掌握ANSYS CFD系列网格划分技巧,胡坤,¥78.00,化学工业出版社
 Python量化交易实战 基本面量化投资策略 量化交易算法之路 量化交易核心技术开发从入门到精通 量化交易从入门到实践 凝聚作者15年交易经验，全流程讲解量化交易，大量案例实战，依次击破实践难点，教你快速上手,李天胜,¥69.80,水利水电出版社
 RHCSA/RHCE8红帽Linux认证学习教程 红帽中国培训事业部淮晋阳作序推荐 段超飞著 RHCE考试学习指南：包括RHEL中使用频繁的知识点，帮助你顺利通过RHCE考试，同时也能应对企业需求。,段超飞,¥96.00,北京大学出版社
 Altium Designer 21 PCB设计官方指南(基础应用) Altium中国技术支持中心面向中国读者出版的官方图书！配套精美的教学视频！ Altium大中华区总经理David Read作序！,Altium中国技术支持中心,¥52.10,清华大学出版社
 WTF Solidity智能合约教程（入门篇） ,0xAA,¥51.00,科学出版社
" 机器学习公式详解第2版 周志华西瓜书《机器学习》伴侣书南瓜书新版上市！了解人工智能ChatGpt底层数学逻辑！ 周志华""西瓜书""《机器学习》伴侣书南瓜书新版重磅上市！机器学习初学人工智能小白提升数学基础能力的练习书，Datawhale开源协作学习笔记",谢文睿,¥89.80,人民邮电出版社
 超简单：用ChatGPT+实用AI工具让Office高效办公飞起来 ai应用aigc智能经济chatGPTai革命ai未 ,快学习教育◎,¥79.00,北京理工大学出版社
 iPad+Procreate儿童插画设计与绘制教程 北京国际设计周获奖插图师倾力打造 魏冉SY著 北京国际设计周获奖插画师倾力打造超实用的儿童插画教程，技法+角色+动物+道具+场景+心得全覆盖，一起来画温馨可爱萌的儿童插画吧！赠送教学视频+笔刷+色卡+纹理素材。,魏冉SY,¥73.50,北京大学出版社
 Perl语言编程（第四版） 大骆驼书，无可争议的Perl宝典。,克里斯蒂安森,¥133.20,中国电力出版社
 Excel高效商务办公一本通 Excel从入门到精通，表格制作+数据分析+数据处理+图表展示，海量学习资源,博蓄诚品,¥69.00,化学工业出版社
 电商运营经理实战工作手册 电商运营实务书籍，分解管理要点，细化运营工作，提供电商运营经理365个实用技能，电商运营经理自我提升的学习手册和实用小百科，电商运营团队岗位培训实用教材。,滕宝红,¥52.60,人民邮电出版社
" 高速电路研发与设计典型故障案例解析 一板成功 聆听一线工程师的硬件案例分享,感受项目实战的真实场景",张晶威,¥29.40,清华大学出版社
 LabVIEW虚拟仪器项目开发与实践 注重虚拟仪器技术的实际应用和工程实践经验总结， 提供丰富的实例程序代码,杨高科,¥134.20,清华大学出版社
 业务数智化：从数字化到数智化的体系化解决方案 大厂作者10年真实业务场景下数智化实践的经验总结 业务数智化解决方案的科普书 企业数字化转型之道,高远,¥58.30,电子工业出版社
 CLR via C#（第4版） 权威力作全新全面升级，名著名译再显经典魅力,李希特,¥81.70,清华大学出版社
 ATT&CK视角下的红蓝对抗实战指南 360资深安全专家撰写，微软、360、字节等企业15位专家力荐，详解ATT&CK六阶段技术原理、攻击手段、防御策略,贾晓璐,¥119.20,机械工业出版社
 Python+Kivy(App开发)从入门到实践(全彩版) 全新中文Python移动开发入门图书，提炼一线开发经验，精选丰富实例和流行项目，助您快速掌握Kivy技能，迈进移动APP开发的大门，配环境搭建视频讲解和项目源码,明日科技,¥96.00,吉林大学出版社
 领域驱动设计 软件核心复杂性应对之道 修订版 领域驱动设计 软件核心复杂性应对之道 修订版DDD软件项目开发教程书籍 领域驱动设计实践指南 领域驱动设计与模式实战,埃里克,¥74.80,人民邮电出版社
 AutoCAD 2021入门到精通autocad基础教程cad教材自学版cad机械设计室内设计建筑设计装潢设计家具设计电 2021新版，Autodesk官方认证考试专家编写。手机扫码看120集微视频讲解+158个实例案例分析，cad实战教程/入门教程/视频教程。建筑设计/室内设计/机械设计。,天工在线,¥89.80,水利水电出版社
 华为HCIP路由与交换技术实战 深入讲解HCIP的关键技术，配有大量示例及实验演示!内容循序渐进，配套丰富学习资源助力快速动手实践,江礼教,¥66.70,清华大学出版社
 数据分析——统计、描述、预测与应用 知名学者联袂编著，畅销全球的数据分析经典教材！系统论述数据分析原则和方法的学习指南！,乔·门德斯·莫雷拉,¥59.20,清华大学出版社
 用户故事地图 ,Feff,¥48.10,清华大学出版社
 ChatGPT与AIGC工具入门实战指南 用AI提高办公学习效率！ChatGPT与AIGC生产力工具实践 智慧共生 ChatGPT和AIGC入门实战，小米科技联合创立人王川作序推荐，人人都能用好人工智能AIGC工具，丰富的实践案例，有效提升工作、学习、生活效率！,王树义,¥59.90,人民邮电出版社
 HCIP-Datacom认证实验指南 2023最新华为数通认证实验手册 华为HCIP路由与交换技术 hcipdataco 华为最新HCIP认证备考手册，涵盖最新版HCIP-Datacom考试认证内容 以企业需求为导向，精简理论，技能为主，配备知识点及实验授课视频，在线交流,长沙卓应教育咨询有限公司,¥106.80,水利水电出版社
 产品经理方法论 构建完整的产品知识体系 产品经理入门教程书籍，互联网产品运营产品策划教程，详细介绍产品经理需要掌握的大量工具、方法论以及产品知识，工作经验，帮助产品经理建立完善的知识体系。,赵丹阳,¥79.80,人民邮电出版社
 硅谷之火：人与计算机的未来 雷军推荐，激发雷军创业和改变雷军命运的奇书，初步了解计算机发展史的易懂版本，激发你的灵感，加深你的兴趣,弗赖伯格,¥35.00,中国华侨出版社
 计算之魂 （《数学之美》《浪潮之巅》等畅销书作者吴军博士新作） 数学之美姊妹篇，吴军科技领域重磅新作，李国杰院士郑纬民院士作序推荐，快手宿华拼多多陈磊倾情推荐，名企面试题算法题讲透计算思维,吴军,¥109.00,人民邮电出版社
 零基础轻松学C++：青少年趣味编程（全彩版） ,快学习教育,¥52.30,机械工业出版社
 C++从入门到精通（第5版） C++入门经典，销售12年，50万C++程序员、数百所高校的选择，97集微课视频+178个应用示例+122个编程训练+53个实践练习+项目案例+海量开发资源库+在线答疑,明日科技,¥67.30,清华大学出版社
 人月神话（40周年中文纪念版） 图灵奖得主、“IBM 360系统之父”作者Brooks颠覆了项目管理领域，长久不衰传奇经典！软件开发人员、软件项目经理、系统分析师等IT从业者必藏之软工圣经！畅销全球40年！,布鲁克斯,¥85.50,清华大学出版社
 中文版PremierePro2022 从入门到精通 微课视频全彩版 唯美系列 专业视频剪辑教程 视频特效 Vlog手机短 100万册畅销书作者升级力作，AE后期专业搭档，影视片头、短视频、Vlog视频剪辑专业工具，扫码看135集微视频讲解+110个实例案例，PR视频教程，资源丰富,唯美世界曹茂鹏,¥125.40,水利水电出版社
 华为数据之道 华为官方出品 华为公司数据管理部撰写，全面总结华为在数据治理和数字化转型经验，碧桂园、美的、三一重工等百余家企业全面研读。英文版全球发行。,华为公司数据管理部,¥57.90,机械工业出版社
 Excel 2019函数与公式应用大全 全新升级版 精选Excel Home海量案例 《Excel 2016函数与公式应用大全》全新升级版，Excel Home多位微软全球MVP专家打造，精选Excel Home海量案例,Excel,¥96.70,北京大学出版社
 趣话计算机底层技术 一趟故事与技术的奇幻之旅。涵盖CPU存储IO操作系统编程安全六大主题。几十个故事之间既有关联让你像追剧一样学技术；也有一定独立性，随时翻开一篇都能有收获,轩辕之风,¥64.90,电子工业出版社
" C++20高级编程(第5版) C++标准委员会主席Herb Sutter大力推荐, C++标准委员会成员Marc Gregoire执笔,知名C++大咖“程序喵大人”领衔翻译。获国内C++社区李建忠、吴咏炜、高博、吴天明等推荐",马克·格雷戈勒,¥228.00,清华大学出版社
 Effective Modern C++中文版 ,Scott,¥97.00,中国电力出版社
 算法(第4版) 【图灵程序设计丛书】算法领域的经典参考书 众多图例实现图解算法和算法导论 基于Java语言实现算法和数据结构 熟练掌握算法设计与分析,Robert,¥129.80,人民邮电出版社
 中文版3ds Max2023从入门到精通微课视频全彩版唯美 Autodesk 3dmax标准教材教程书籍 3dsmax三 3dsmax专家委员升级作品，211集视频，139个实例教学，三维建模效果图制作建筑设计模型设计影视特效CG动画游戏完全自学教程,唯美世界,¥128.00,水利水电出版社
 SQL基础教程 第2版 畅销书SQL基础教程全新升级 SQL从入门到精通 SQL必知必会 随书附赠程序示例和习题答案,MICK,¥79.00,人民邮电出版社
 从零开始学达芬奇视频调色：剪辑+校色+美颜+降噪+特效 周玉姣 DaVinci Resolve 18完全教程，9大专题内容+80多个案例详细讲解+190多分钟教学视频+840多张图片展示，从零开始轻松学会达芬奇软件的视频调色,周玉姣,¥66.70,北京大学出版社
 C程序设计语言（原书第2版·新版）典藏版 全面、系统地讲述了C语言的各个特性及程序设计的基本方法。,布莱恩,¥54.60,机械工业出版社
 Python数据分析从入门到实践（全彩版）Python Excel高效办公常备工具 零基础入门数据分析师，利用Python进行数据处理、数据分析简单高效，送数据分析专属魔卡150+方法随身查,明日科技,¥96.00,吉林大学出版社
 Stata统计分析从入门到精通 致力于让Stata的学习 更简单、更实用、更高效,杨维忠,¥88.50,清华大学出版社
 AI绘画师：文案、图片与视频制作从入门到精通 AI；ChatGPT；Midjourney;AIGC;剪映；文心；,AIGC文画学院,¥88.00,化学工业出版社
 SQL即查即用（全彩版）数据库入门经典 程序员的SQL速查工具书。查询方便，让你轻松掌握SQL语言！适合作为SQL初学者的学习用书！,明日科技,¥48.80,吉林大学出版社
 PPT设计思维（实战版）（全彩印刷） 在知乎获得300多万收藏、88万赞的PPT设计经验分享，数十万粉丝共同点赞的PPT“美容计划”，《PPT之光》等畅销书作者、@simon_阿文、iSlide社区创始人刘浩力荐，随书赠送PPT知识地图,邵云蛟,¥37.90,电子工业出版社
 PPT知识图谱（全彩） PPT设计经验超500w收藏的知乎头部答主、畅销书《PPT设计思维》作者邵云蛟为大家撰写的PPT设计方法百科词典，系统化梳理PPT设计知识点，并配有大量精美案例,邵云蛟,¥56.60,电子工业出版社
 Java图解创意编程：从菜鸟到互联网大厂之路 10位大厂大咖推荐 10个精致项目实践 10万行代码之路,胡东锋,¥149.00,清华大学出版社
 AIGC自动化编程：基于ChatGPT和GitHub Copilot 基于ChatGPT、GitHub Copilot、Claude2、Amazon CodeWhisperer、CodeGeeX，系统介绍如何实现自动化编程，让工作效率逆袭,李宁,¥79.80,人民邮电出版社
 中文版ANSYS Workbench2021有限元分析从入门到精通视频讲解实战案例版 ansys workbench完全 CAD/CAM/CAE专家编写328分钟同步微视频讲解，26个实例案例分析案例全流程讲解,天工在线,¥88.00,水利水电出版社
 深入浅出 WPF ,刘铁猛,¥45.00,水利水电出版社
" UNIX环境高级编程 第3版 UNIX编程""圣经""新版本 针对新技术全新改版 与Linux相结合的案例教程 UNIX和网络专家Stevens名著 unix/linux程序员案头常备参考书 数十年来影响无数程序员的经典之作",理查德·史蒂文斯,¥169.00,人民邮电出版社
 Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教 Python 青少年趣味编程 100个趣味编程实例630分钟视频讲解兴趣教学AI时代学编程的孩子不会输,爱编程的魏校长,¥88.00,水利水电出版社
 PyTorch深度学习实战 PyTorch核心开发者教你用PyTorch创建神经网络和深度学习系统的实践指南，基于Python 3.6及以上的版本编写，提供源代码下载，PyTorch联合创作者作序推荐。,伊莱·史蒂文斯,¥119.90,人民邮电出版社
 Python编程快速上手 让繁琐工作自动化 第2版 Python编程从入门到实践姊妹篇，零基础自学Python教程书籍，提供配套同步教学视频、在线编程环境，初版译著豆瓣评分9.6分！针对Python3.X版本更新，海量学习资源随书送,阿尔·斯维加特,¥89.00,人民邮电出版社
 思维导图学C++趣味编程 中小学C++编程读物，轻松有趣，边玩边学,方其桂,¥99.00,化学工业出版社
 游戏设计艺术（第3版） 游戏设计的扛鼎之作,Jesse,¥141.90,电子工业出版社
 30天精学Excel 从菜鸟到数据分析高手 Excel教程书籍教学函数与公式应用大全，制作图表进行数据分析，数据透视表Excelhome云课堂金桥老师作品，配套同步教学视频，一本书搞定高效办公。,金桥,¥69.00,人民邮电出版社
 Qt 6 C++开发指南 基于Qt 6.2版本，《Qt 5.9 C++开发指南》版本内容重大升级，涵盖新的功能模块和开发技术，附赠大量示例演示程序和示例源代码，轻松开发GUI程序！,王维波,¥139.80,人民邮电出版社
 ChatGPT原理与实战：大型语言模型的算法、技术和私有化 BAT资深大模型专家撰写，深入解析ChatGPT技术、算法、原理和训练方法，教你从0搭建专属大模型，邱锡鹏推荐,刘聪,¥74.20,机械工业出版社
" ChatGPT：人类新纪元 ""搜狗输入法之父""、美团光年首席AGI布道师马占凯重磅新作，零基础也能读懂的ChatGPT入门书，轻松了解AIGC、通用人工智能的发展史，罗永浩、梁宁、戴雨森、王建硕、王玥倾情推荐。",马占凯,¥88.00,人民邮电出版社
 青少年信息学竞赛 一本信息学竞赛初学者入门教材。随书赠送：教学大纲、教学课件、微课视频、案例源代码和思考练习参考答案，获取地址见书前言二维码。教材服务QQ:1815317009,刘洪,¥52.30,清华大学出版社
 ChatGPT: 读懂人工智能新纪元 ,陈根,¥69.80,电子工业出版社
 中文版AutoCAD2022从入门到精通 cad基础教程cad教材自学cad/cam/cae机械设计室内设计建筑设计电气 ,天工在线,¥88.00,水利水电出版社
 动手学机器学习 上海交通大学ACM班创办人俞勇教授团队编写，,张伟楠,¥89.80,人民邮电出版社
 数据分析师手记——数据分析72个核心问题精解 从0到1，系统的基础入门路线图，实战性强，开箱即用,刘林,¥81.70,清华大学出版社
 中文版Photoshop 2023入门教程 Photoshop 2023零基础自学教程，细致功能讲解，配合视频教学及PPT课件，综合实战案例+课后练习，纸电同步电子书免费领取。,李金明,¥59.80,人民邮电出版社
 华为数字化转型与数据治理套装（共2册） 本套装含《华为数字化转型之道》和《华为数据之道》各1册。华为官方出品，数据资源化 数据治理 数据资产化 数据开发应用 数据流通 数据要素市场 数据安全,华为公司企业架构与变革管理部,¥163.50,机械工业出版社
 Python编程入门与算法进阶 Python青少年等级考试程序软件开发教程编程入门，py基础能力训练，电子学会青少年编程考试指定用书，让孩子们轻松学习Python！,中国电子学会,¥99.00,人民邮电出版社
 剪映短视频剪辑从入门到精通（手机版+电脑版）手机短视频剪辑 特效制作 剪映案例教程 抖音快手小红书B站视频剪辑 pr a 剪映手机版+剪映电脑版教程 59个精选案例+170分钟操作视频精讲+95个素材视频+58个效果视频，专业摄影大师手把手教你快速学会短视频的专业创作过程,新镜界,¥89.80,水利水电出版社
 CG造型基础与创作·入门篇 ,Victor,¥115.60,文化艺术出版社
 R语言临床预测模型实战（新时代·技术新未来） 10余年R语言医学数据挖掘经验，快速转化成发表SCI的秘诀！全流程讲解临床预测模型构建、评价、验证；50多个案例，逐步深入，手把手教学，拿来即用；提供源程序下载,彭献镇,¥126.00,清华大学出版社
 GPT时代的量化交易：底层逻辑与技术实践 一本书读懂量化交易策略：全景展现底层逻辑+大量揭秘实战案例+解锁前沿GPT开发路径，更适合普通人的量化交易转型、入门书，领域名家亲笔手写赞誉,罗勇,¥64.90,电子工业出版社
 精益数据分析 珍藏版 商业数据分析入门书，精益创业运动开创者埃里克·莱斯作序推荐，王诗沐、史凯等大咖联合推荐，用精益数据分析打造符合市场需求的产品！,阿利斯泰尔·克罗尔,¥82.60,人民邮电出版社
 完全图解服务器工作原理 服务器入门图书 计算机科普书 服务器原理 服务器与系统架构 高性能服务器编程 服务器架设实战 服 用图解的形式，从作用、技术架构和应用维护等层面，对服务器相关知识进行全面解说！理解Al、loT、大数据、RPA等技术与服务器的关系!介绍实际业务应用场景中的发展动态和前沿动向！,西村泰洋,¥68.40,水利水电出版社
 AUTOSAR规范与车用控制器软件开发 AUTOSAR规范学习参考用书,宋珂,¥78.00,化学工业出版社
 ChatGPT AI文案写作从入门到精通 用ChatGPT进行AI文案写作，大幅度提高你的创作效率,AIGC文画学院,¥88.00,化学工业出版社
 神经网络与深度学习 豆瓣评分9.5!复旦大学邱锡鹏教授力作，周志华、李航联袂推荐！深受好评的深度学习讲义蒲公英书正式版！系统整理深度学习的知识体系，由浅入深地阐述深度学习的原理、模型以及方法。更适合中文读者的深度学习图书,邱锡鹏,¥96.90,机械工业出版社
 科研论文配图绘制指南 基于Python 科研和学术论文配图的实用利器，Python科研绘图锦囊，100多种绘图方法、200多个绘图源代码、保姆级的配图绘制技巧，快速提升科研效率，增添论文亮点！,宁海涛,¥109.80,人民邮电出版社
 图解TCP/IP网络知识轻松入门 图解概念一清二楚，零基础学习网络的入门书；原版书销量突破700000册。,日本Ank软件技术公司,¥79.80,化学工业出版社
 MATLAB R2022a完全自学一本通 “完全自学一本通”系列图书畅销15年累计超80万册。已被超过20万MATLAB用户选择为入门书，MathWorks公司推荐用书。,刘浩,¥99.00,电子工业出版社
 数字化生存 20年前，读它，是科幻书；20年后读它，像历史书。 一本影响千百万人的互联网启蒙经典著作； 一本关于“智能时代”的“说明书”； 预言帝尼葛洛庞帝坦率回应“我有什么地方搞错了吗？”尼葛洛庞帝、胡泳、刘九,Nicholas,¥78.00,电子工业出版社
 数据结构与算法分析 C语言描述（原书第2版）典藏版 书中详细介绍了当前流行的论题和新的变化，讨论了算法设计技巧，并在研究算法的性能、效率。,马克,¥62.50,机械工业出版社
 Excel高效办公应用与技巧大全第2版 excel高效办公数据处理与分析 excel图表之道 excel函数与公式 ex ,IT新时代教育,¥69.80,水利水电出版社
 失控：全人类的最终命运和结局（修订版） 早阅读一天，就让你在互联网时代先行一步，《失控》互联网时代最重要的著作之一 (修订版增加了25周年序言；进行了勘误）,Kevin,¥138.00,电子工业出版社
 Premiere Pro 2022视频编辑从入门到精通 随书赠送配套电子课件、实例源文件和教学视频，获取地址见书内容简介网址，前言和封底二维码。教材服务QQ:1815317009,王楚然,¥81.40,清华大学出版社
 数据化管理：洞悉零售及电子商务运营（全彩） ,黄成明,¥43.40,电子工业出版社
 自学是门手艺：没有自学能力的人没有未来 李笑来公开跨界成功秘诀！零基础自学编程，从Python起步,李笑来,¥54.40,电子工业出版社
 Vue.js 3.x+Element Plus前端开发实战 一本资深Web前端开发工程师编写的Element Plus框架书,趣千厘,¥99.00,清华大学出版社
 因果推断与机器学习 ,郭若城,¥64.90,电子工业出版社
" eNSP网络技术与应用从基础到实战 全程操作视频，技术大牛大阮晓龙老师力作,一站式掌握，立体学习资源，突出工程化训练，轻松脱离业余级别，",许成刚,¥68.00,水利水电出版社
 数据仓库工具箱(第3版)——维度建模权威指南 维度建模技术、模式和实践，14个案例涉及零售业、电子商务、客户关系管理、采购、库存、订单管理、会计、人力资源、金融服务、医疗卫生、保险、教育、电信和运输等,Ralph,¥59.20,清华大学出版社
 ANSYS Workbench有限元分析实例详解（动力学） 有限元理论和工程实践紧密结合的典范 解决ANSYS Workbench动力学分析实际操作和工程问题数值模拟 模态分析的基础教程 配套资源丰富,周炬,¥85.40,人民邮电出版社
 计算机是怎样跑起来的 计算机网络概论图解趣味版 网络基础知识书籍 菜鸟程序员入门书籍,矢泽久雄,¥44.80,人民邮电出版社
 和秋叶一起学 秒懂WPS演示文稿 WPS演示文稿PPT教程书籍教PPT设计思维，基础操作+实战应用，由易到难分类整理PPT高频应用技巧，解答职场常见操作难题，赠送配套讲解视频、演示模板及资料包。,秋叶,¥37.10,人民邮电出版社
 DaVinci Resolve 18 达芬奇视频剪辑与调色 案例的操作步骤中穿插了大量扩展知识和相关技巧，全面讲解了DaVinci Resolve的各项功能。,王岩,¥74.20,清华大学出版社
 机器视觉技术基础 零基础机器视觉及应用入门书。HALCON软件应用指南。人工智能学习技术。,肖苏华,¥69.00,化学工业出版社
 人工智能与ChatGPT（新时代·科技新物种） 一本书全面掌握ChatGPT，既有向ChatGPT提问的技巧， 也有构建自己的ChatGPT模型的方法，涵盖开发背景、关联技术、使用方法、应用形式、实用案例等,范煜,¥74.20,清华大学出版社
 深度学习计算机视觉 计算机如何“理解”它所“看到”的东西?本书试图将深度学习应用于计算机视觉以回答该问题。随书赠送源代码和附录，获取地址见书封底二维码。,穆罕默德·埃尔根迪,¥128.00,清华大学出版社
 R语言数据可视化之美：专业图表绘制指南（增强版） ggplot2开发者HadleyWickham力荐，基于R快速生成约230张专业图表，ggplot2、plot3D、base、lattice等包，增加地理空间型图表等。,张杰,¥87.40,电子工业出版社
 信息简史（第九届文津图书奖获奖作品，小米董事长雷军、《浪潮之巅》作者吴军作序推荐） 百万级销量科普畅销书作家詹姆斯格雷克七年磨一剑，带来一段人类与信息遭遇的波澜壮阔的历史，告诉我们如何在信息时代的信息爆炸中生存,格雷克,¥51.30,人民邮电出版社
 深入理解Linux网络： 修炼底层内功，掌握高性能原理（配Java、C++实验代码） 打造高性能应用的硬核建议，高频工程实践问题解决方案，助你清扫性能误区，探寻底层原理，应对校招、社招、晋升考核，用底层内功对抗中年焦虑。腾讯、小米等技术专家齐赞,张彦飞,¥64.90,电子工业出版社
 Procreate数字绘画从入门到精通 iPad手绘Procreate数字绘画从入门到精通迪斯尼角色设计科幻幻想题材游戏动漫主题手绘技法,3dtotal,¥108.00,电子工业出版社
 C语言程序设计（第4版）-教材将封面 ,何钦铭,¥34.10,高等教育出版社
 The Little SAS Book 中文版 统计分析和数据挖掘领域风靡全球20多年的“圣经级”经典小黄书《The Little SAS Book》引进中文版，SAS中国公司官方支持。SAS公司联合创始人古德奈特、中国人民大学陈忠阳、中信银行梁建,Lora,¥74.80,清华大学出版社
 数据治理：工业企业数字化转型之道 数据治理|数字化转型|中国工程院院士等多位专家荐读，14个工业企业案例，本书既具有国际性理论高度，也具备面向中国工业企业的实操性,祝守宇,¥86.90,电子工业出版社
 PS教程：迅速提升Photoshop核心技术的100个关键技能 Adobe公司的PS入门教程：涵盖选区/图层/文字/路径/通道/蒙版/抠图/修图/调色/特效/合成/高效处理图像等关键技能,凤凰高新教育,¥94.10,北京大学出版社
 剑指Offer：名企面试官精讲典型编程题（第2版） 继英文版登陆全球市场后又迎来重大升级 加大题量+更新题目+优化解法+融合中外 第二版重磅升级,何海涛,¥35.70,电子工业出版社
 一本书读懂AIGC：ChatGPT、AI绘画、智能文明与生产力变革 ChatGPT会让我们失业吗？这些AIGC工具能给我们的工作和生活带来什么变化？22位AIGC领域专家历时半年编写完成！让你系统地了解什么是人们热议的AIGC，在AIGC时代我们如何应对！AIGC科普,a15a,¥43.40,电子工业出版社
