Test Sponsor,System Name,Paralled,Base Threads,Enabled Cores,Enabled Chips,Threads/Core,Base Results,Peak Results
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220)",Yes,36,36,2,1,127   ,128   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6226)",Yes,24,24,2,1,121   ,121   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 5217)",Yes,32,16,2,2,91.1 ,91.4 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218)",Yes,32,32,2,1,124   ,125   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218B)",Yes,32,32,2,1,125   ,125   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 5215)",Yes,20,20,2,1,96.6 ,97.3 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz, Intel Xeon E-2124G)",Yes,4,4,1,1,27.1 ,27.5 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz, Intel Xeon E-2104G)",Yes,4,4,1,1,23.8 ,24.2 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2124)",Yes,4,4,1,1,26.3 ,26.7 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4214)",Yes,24,24,2,1,99.8 ,101   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Silver 4215)",Yes,32,16,2,2,84.0 ,84.2 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4208)",Yes,32,16,2,2,72.9 ,73.2 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4210)",Yes,20,20,2,1,87.1 ,87.8 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4216)",Yes,32,32,2,1,119   ,119   
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.70 GHz, Intel Xeon E-2176G)",Yes,12,6,1,2,32.7 ,33.0 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Bronze 3204)",Yes,12,12,2,1,45.9 ,46.4 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2126G)",Yes,6,6,1,1,32.4 ,32.8 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz, Intel Xeon E-2134)",Yes,8,4,1,2,27.9 ,28.2 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2136)",Yes,12,6,1,2,32.7 ,33.1 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.60 GHz, Intel Xeon E-2144G)",Yes,8,4,1,2,28.1 ,28.5 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz, Intel Xeon E-2146G)",Yes,12,6,1,2,32.6 ,33.0 
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.80 GHz, Intel Xeon E-2174G)",Yes,8,4,1,2,28.2 ,28.6 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",Yes,64,64,1,2,136   ,141   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.60 GHz, Intel Xeon Gold 6240M)",Yes,36,36,2,1,138   ,138   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6252)",Yes,48,48,2,1,148   ,149   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.80 GHz, Intel Xeon Platinum 8256)",Yes,16,8,2,2,66.0 ,66.4 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Platinum 8260M)",Yes,48,48,2,1,154   ,154   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7702P",Yes,64,64,1,2,133   ,137   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7542",Yes,32,32,1,2,110   ,112   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7402P",Yes,24,24,1,2,95.0 ,97.4 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.50 GHz, AMD EPYC 7502P",Yes,32,32,1,2,109   ,111   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2288G)",Yes,8,8,1,1,38.2 ,38.8 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",Yes,128,128,2,2,202   ,209   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.00 GHz, AMD EPYC 7302P",Yes,16,16,1,2,80.0 ,83.2 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7352",Yes,24,24,1,2,92.9 ,95.2 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7702",Yes,128,128,2,2,198   ,205   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2276G)",Yes,12,6,1,2,34.1 ,34.4 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2278G)",Yes,8,8,1,1,37.8 ,38.4 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2286G)",Yes,6,6,1,1,33.9 ,34.3 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2274G)",Yes,8,4,1,2,28.8 ,29.1 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.80 GHz, AMD EPYC 7402",Yes,48,48,2,2,144   ,148   
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.50 GHz, AMD EPYC 7502",Yes,64,64,2,2,162   ,168   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7262",Yes,8,8,1,2,50.5 ,53.9 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.00 GHz, AMD EPYC 7302",Yes,32,32,2,2,126   ,129   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",Yes,64,64,1,2,138   ,142   
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2234)",Yes,8,4,1,2,28.8 ,29.1 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2236)",Yes,12,6,1,2,33.7 ,34.1 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2244G)",Yes,8,4,1,2,29.0 ,29.4 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2246G)",Yes,12,6,1,2,33.1 ,33.4 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2224)",Yes,4,4,1,1,27.4 ,27.8 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2224G)",Yes,4,4,1,1,27.9 ,28.2 
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2226G)",Yes,6,6,1,1,33.2 ,33.5 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",Yes,128,128,2,2,206   ,213   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6258R)",Yes,56,56,2,1,163   ,164   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.90 GHz, Intel Xeon Gold 6250)",Yes,32,16,2,2,117   ,117   
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.20 GHz, AMD EPYC 7F72",Yes,48,48,2,2,154   ,157   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.70 GHz, AMD EPYC 7F32",Yes,16,8,1,2,64.5 ,64.6 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.50 GHz, AMD EPYC 7F52",Yes,16,16,1,2,93.6 ,97.5 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.20 GHz, AMD EPYC 7F72",Yes,24,24,1,2,107   ,110   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.60 GHz, AMD EPYC 7H12",Yes,64,64,1,2,139   ,144   
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.70 GHz, AMD EPYC 7F32",Yes,16,16,2,2,92.7 ,96.2 
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 3.50 GHz, AMD EPYC 7F52",Yes,32,32,2,2,135   ,141   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7272",Yes,24,12,1,2,59.2 ,59.3 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7282",Yes,16,16,1,2,65.2 ,67.8 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.20 GHz, AMD EPYC 7552",Yes,48,48,1,2,124   ,126   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7662",Yes,64,64,1,2,137   ,141   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.40 GHz, Intel Xeon Gold 6246R)",Yes,32,32,2,1,154   ,155   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7232P",Yes,16,8,1,2,48.2 ,48.3 
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.10 GHz, AMD EPYC 7252",Yes,16,8,1,2,50.0 ,50.1 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Gold 6240R)",Yes,48,48,2,1,161   ,162   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6256)",Yes,24,24,2,1,136   ,137   
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7662",Yes,128,128,2,2,205   ,213   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Bronze 3206R)",Yes,16,16,2,1,60.8 ,61.6 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Silver 4210R)",Yes,20,20,2,1,90.0 ,90.9 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Silver 4214R)",Yes,24,24,2,1,105   ,106   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 6238R)",Yes,56,56,2,1,158   ,159   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220R)",Yes,48,48,2,1,150   ,151   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230R)",Yes,52,52,2,1,156   ,156   
ASUSTeK Computer Inc.,"ASUS ESC4000A-E10(KRPG-U8) Server System 2.60 GHz, AMD EPYC 7H12",Yes,64,64,1,2,139   ,144   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.20 GHz, Intel Xeon Silver 4215R)",Yes,32,16,2,2,84.0 ,84.5 
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 6248R)",Yes,48,48,2,1,162   ,162   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 5218R)",Yes,40,40,2,1,137   ,138   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.90 GHz, Intel Xeon Gold 6226R)",Yes,32,32,2,1,139   ,140   
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.10 GHz, Intel Xeon Gold 6242R)",Yes,40,40,2,1,156   ,157   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7642",Yes,48,48,1,2,124   ,126   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.35 GHz, AMD EPYC 7452",Yes,32,32,1,2,108   ,110   
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.40 GHz, AMD EPYC 7532",Yes,32,32,1,2,116   ,118   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.90 GHz, Intel Xeon Gold 6250)",Yes,32,16,2,2,114   ,114   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6258R)",Yes,56,56,2,1,161   ,161   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.00 GHz, Intel Xeon Gold 6248R)",Yes,48,48,2,1,161   ,162   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (1.90 GHz, Intel Xeon Bronze 3206R)",Yes,16,16,2,1,59.5 ,60.2 
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.40 GHz, Intel Xeon Silver 4210R)",Yes,20,20,2,1,88.2 ,88.9 
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.40 GHz, Intel Xeon Gold 6240R)",Yes,48,48,2,1,158   ,158   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.40 GHz, Intel Xeon Gold 6246R)",Yes,32,32,2,1,151   ,152   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.60 GHz, Intel Xeon Gold 6256)",Yes,24,24,2,1,133   ,134   
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.20 GHz, Intel Xeon Gold 6238R)",Yes,56,56,2,1,154   ,155   
ASUSTeK Computer Inc.,"ASUS RS700A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1,2,174   ,179   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,128,128,2,2,248   ,264   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7713",Yes,128,128,2,2,247   ,253   
ASUSTeK Computer Inc.,"ASUS RS700A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,128,128,2,2,262   ,269   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.95 GHz, AMD EPYC 75F3",Yes,64,64,2,2,238   ,248   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7543",Yes,64,64,2,2,232   ,242   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.30 GHz, AMD EPYC 7643",Yes,96,96,2,2,239   ,247   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 74F3",Yes,48,48,2,2,211   ,221   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8380)",Yes,80,80,2,1,241   ,244   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8368Q)",Yes,76,76,2,1,243   ,247   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1,2,174   ,179   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7663",Yes,112,112,2,2,240   ,247   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.70 GHz, AMD EPYC 72F3",Yes,32,16,2,2,146   ,156   
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.60 GHz, AMD EPYC 7513",Yes,64,64,2,2,226   ,235   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7713",Yes,64,64,1,2,167   ,171   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.95 GHz, AMD EPYC 75F3",Yes,32,32,1,2,160   ,165   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7663",Yes,56,56,1,2,161   ,164   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.70 GHz, AMD EPYC 72F3",Yes,16,8,1,2,89.8 ,94.0 
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.30 GHz, AMD EPYC 7643",Yes,48,48,1,2,158   ,162   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Platinum 8352V)",Yes,72,72,2,1,207   ,209   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352Y)",Yes,64,64,2,1,218   ,221   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Platinum 8362)",Yes,64,64,2,1,239   ,240   
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.10 GHz, Intel Xeon Gold 6346)",Yes,32,32,2,1,184   ,187   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.50 GHz, AMD EPYC 73F3",Yes,32,16,1,2,128   ,132   
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 74F3",Yes,24,24,1,2,142   ,147   
